time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:48:59.637905,0.05401662,55,89,0.788202,0.05172100000000002
2025-07-15 22:49:01.700432,0.058132172,55,89,0.840364,0.051861000000000046
2025-07-15 22:49:03.763311,0.043213296,55,90,0.894484,0.05190899999999998
2025-07-15 22:49:05.825807,0.033953304,55,89,0.948099,0.05182500000000001
2025-07-15 22:49:07.888391,0.04887218,55,89,1.001741,0.07037800000000005
2025-07-15 22:49:09.988036,0.031381084,56,90,0.917763,0.03346300000000002
2025-07-15 22:49:12.050577,0.080767708,54,91,0.863675,0.03331799999999996
2025-07-15 22:49:14.113282,0.049386624,49,91,0.8102590000000001,0.03323600000000004
2025-07-15 22:49:16.176168,0.167708744,47,91,0.755289,0.03295400000000004
2025-07-15 22:49:18.238775,0.09259992,47,91,0.70104,0.03311699999999995
2025-07-15 22:49:20.300851,0.155876532,47,92,0.6473180000000001,0.03331099999999998
2025-07-15 22:49:22.363742,0.184685396,45,91,0.592741,0.03317899999999996
2025-07-15 22:49:24.426290,0.16204986,44,91,0.538753,0.03283899999999995
2025-07-15 22:49:26.488464,0.110091016,46,91,0.48467800000000005,0.03369999999999995
2025-07-15 22:49:28.550850,0.1815987319999999,48,90,0.42945199999999994,0.052543000000000006
2025-07-15 22:49:30.613682,0.880728128,48,92,0.37471,0.05188400000000004
2025-07-15 22:49:32.676491,0.292204192,48,93,0.32074800000000003,0.05161199999999999
2025-07-15 22:49:34.738695,0.135298772,49,94,0.26509000000000005,0.05252599999999996
2025-07-15 22:49:36.801271,0.086941036,50,94,0.20810399999999996,0.07270699999999997
2025-07-15 22:49:38.863743,0.058646616,47,95,0.15218900000000002,0.07073499999999999
2025-07-15 22:49:40.926411,0.099802136,47,95,0.097522,0.07076700000000002
2025-07-15 22:49:42.989368,0.03343886,42,94,0.04295199999999999,0.070828
2025-07-15 22:49:45.051466,0.101859912,37,93,0.010812,0.07087600000000005
2025-07-15 22:49:47.151666,0.024693312,32,92,0.102672,0.05212899999999998
2025-07-15 22:49:49.214393,0.091571032,27,93,0.157437,0.054312999999999945
2025-07-15 22:49:51.276993,0.073565492,22,94,0.211695,0.05173099999999997
2025-07-15 22:49:53.339143,0.147130984,17,93,0.263241,0.051973999999999965
2025-07-15 22:49:55.439437,0.438820732,17,92,0.353689,0.03327800000000003
2025-07-15 22:49:57.501753,0.715591604,17,90,0.407384,0.033340999999999954
2025-07-15 22:49:59.564540,0.466600708,17,89,0.46151,0.03313200000000005
2025-07-15 22:50:01.627259,0.343134148,17,89,0.516954,0.08942799999999995
2025-07-15 22:50:03.689946,0.148674316,17,90,0.570651,0.08911999999999998
2025-07-15 22:50:05.752233,0.1507320919999999,15,91,0.624993,0.08938800000000002
2025-07-15 22:50:07.814618,0.133240996,15,90,0.679542,0.108456
2025-07-15 22:50:09.877295,0.323585276,15,90,0.735356,0.10869399999999996
2025-07-15 22:50:11.939643,0.10803324,15,89,0.788665,0.10848899999999995
2025-07-15 22:50:14.002183,0.093114364,15,89,0.842353,0.10850300000000002
2025-07-15 22:50:16.065324,0.11832212,14,89,0.896867,0.10810200000000003
2025-07-15 22:50:18.127733,0.014918876,12,89,0.94989,0.107908
2025-07-15 22:50:20.190430,0.057617728,11,89,1.0008599999999999,0.10811499999999996
2025-07-15 22:50:22.252897,0.029837752,9,89,0.944914,0.12611899999999998
2025-07-15 22:50:24.314982,0.133240996,7,89,0.889383,0.10831500000000005
2025-07-15 22:50:26.377737,0.113692124,5,89,0.833456,0.10813600000000001
2025-07-15 22:50:28.440580,0.04629996,5,90,0.777411,0.10800600000000005
2025-07-15 22:50:30.503102,0.0771666,4,92,0.721383,0.10812999999999995
2025-07-15 22:50:32.565241,0.086426592,2,93,0.6660820000000001,0.10831900000000005
2025-07-15 22:50:34.627762,0.073565492,0,94,0.610106,0.10854299999999995
2025-07-15 22:50:36.690316,0.021092204,0,92,0.556747,0.10859700000000005
2025-07-15 22:50:38.753368,0.294776412,0,89,0.5030669999999999,0.10844600000000004
2025-07-15 22:50:40.815503,1.097309052,2,91,0.44982999999999995,0.10896600000000001
2025-07-15 22:50:42.878023,1.07261574,5,91,0.39519099999999996,0.10853800000000002
2025-07-15 22:50:44.940703,1.323664412,8,93,0.34038100000000004,0.10821700000000001
2025-07-15 22:50:47.003262,1.557221988,10,95,0.286239,0.108186
2025-07-15 22:50:49.065677,1.169845656,13,100,0.23049699999999995,0.10853599999999997
2025-07-15 22:50:51.128363,1.105540156,16,96,0.174249,0.10806700000000002
2025-07-15 22:50:53.190970,1.269133348,20,97,0.11807699999999999,0.10870800000000003
2025-07-15 22:50:55.253484,1.398258792,22,97,0.061568999999999985,0.10821800000000004
2025-07-15 22:50:57.315991,1.351958832,24,96,0.005558999999999981,0.10836699999999999
2025-07-15 22:50:59.378413,1.212544508,27,95,0.051937,0.10802500000000004
2025-07-15 22:51:01.441210,1.52789868,29,96,0.109601,0.10776300000000005
2025-07-15 22:51:03.503615,1.581400856,32,97,0.166878,0.10822600000000004
2025-07-15 22:51:05.566043,1.242896704,34,99,0.224139,0.10835300000000003
2025-07-15 22:51:07.628524,1.203284516,37,101,0.281673,0.10829999999999995
2025-07-15 22:51:09.691632,1.322635524,40,101,0.338636,0.108178
2025-07-15 22:51:11.753791,1.351444388,42,101,0.392052,0.10855300000000001
2025-07-15 22:51:13.816651,1.056153532,45,101,0.447092,0.107904
2025-07-15 22:51:15.878903,1.041234656,47,101,0.501062,0.10841100000000004
2025-07-15 22:51:17.941716,1.2212900560000002,50,101,0.556846,0.10806400000000005
